symbol,arm64_file,arm64_line,commit_hash,commit_title,commit_url,patch_url,trace_status
ARM64_FORCE_52BIT,arch/arm64/Kconfig,1454,b9567720a1b8e739380e0241413606c056c57859,arm64: mm: Allow forcing all userspace addresses to 52-bit,https://git.kernel.org/torvalds/c/b9567720a1b8e739380e0241413606c056c57859,https://git.kernel.org/torvalds/c/b9567720a1b8e739380e0241413606c056c57859.patch,ok
ARM64_GCS,arch/arm64/Kconfig,2200,5d8b172e7005c6b42c16a0952c1d8873051d68ae,arm64: Add Kconfig for Guarded Control Stack (GCS),https://git.kernel.org/torvalds/c/5d8b172e7005c6b42c16a0952c1d8873051d68ae,https://git.kernel.org/torvalds/c/5d8b172e7005c6b42c16a0952c1d8873051d68ae.patch,ok
ARM64_HAFT,arch/arm64/Kconfig,2181,efe72541355d4d40a4f076af453f6533e98e058c,arm64: Add support for FEAT_HAFT,https://git.kernel.org/torvalds/c/efe72541355d4d40a4f076af453f6533e98e058c,https://git.kernel.org/torvalds/c/efe72541355d4d40a4f076af453f6533e98e058c.patch,ok
ARM64,arch/arm64/Kconfig,2,8c2c3df31e3b87cb5348e48776c366ebd1dc5a7a,arm64: Build infrastructure,https://git.kernel.org/torvalds/c/8c2c3df31e3b87cb5348e48776c366ebd1dc5a7a,https://git.kernel.org/torvalds/c/8c2c3df31e3b87cb5348e48776c366ebd1dc5a7a.patch,ok
ARM64_HW_AFDBM,arch/arm64/Kconfig,1865,2f4b829c625ec36c2d80bef6395c7b74cea8aac0,arm64: Add support for hardware updates of the access and dirty pte bits,https://git.kernel.org/torvalds/c/2f4b829c625ec36c2d80bef6395c7b74cea8aac0,https://git.kernel.org/torvalds/c/2f4b829c625ec36c2d80bef6395c7b74cea8aac0.patch,ok
ARM64_LPA2,arch/arm64/Kconfig,1505,db95ea787bd19be666ba41733259ffea65963bff,arm64: mm: Wire up TCR.DS bit to PTE shareability fields,https://git.kernel.org/torvalds/c/db95ea787bd19be666ba41733259ffea65963bff,https://git.kernel.org/torvalds/c/db95ea787bd19be666ba41733259ffea65963bff.patch,ok
ARM64_MPAM,arch/arm64/Kconfig,2017,d8bf01d80919e81a06dca77556dcfb351fa99b0c,arm64: kconfig: Add Kconfig entry for MPAM,https://git.kernel.org/torvalds/c/d8bf01d80919e81a06dca77556dcfb351fa99b0c,https://git.kernel.org/torvalds/c/d8bf01d80919e81a06dca77556dcfb351fa99b0c.patch,ok
ARM64_MTE,arch/arm64/Kconfig,2112,89b94df9dfb16fe29f9d2085b0a98116dc34d814,arm64: mte: Kconfig entry,https://git.kernel.org/torvalds/c/89b94df9dfb16fe29f9d2085b0a98116dc34d814,https://git.kernel.org/torvalds/c/89b94df9dfb16fe29f9d2085b0a98116dc34d814.patch,ok
ARM64_PA_BITS_48,arch/arm64/Kconfig,1483,982aa7c5f0861bf56b2412ca341a13f44c238ba4,arm64: add kconfig symbol to configure physical address size,https://git.kernel.org/torvalds/c/982aa7c5f0861bf56b2412ca341a13f44c238ba4,https://git.kernel.org/torvalds/c/982aa7c5f0861bf56b2412ca341a13f44c238ba4.patch,ok
ARM64_PA_BITS_52,arch/arm64/Kconfig,1487,f77d281713d4188973bb34ecb10e51ae39ce6946,arm64: enable 52-bit physical address support,https://git.kernel.org/torvalds/c/f77d281713d4188973bb34ecb10e51ae39ce6946,https://git.kernel.org/torvalds/c/f77d281713d4188973bb34ecb10e51ae39ce6946.patch,ok
ARM64_PA_BITS,arch/arm64/Kconfig,1500,982aa7c5f0861bf56b2412ca341a13f44c238ba4,arm64: add kconfig symbol to configure physical address size,https://git.kernel.org/torvalds/c/982aa7c5f0861bf56b2412ca341a13f44c238ba4,https://git.kernel.org/torvalds/c/982aa7c5f0861bf56b2412ca341a13f44c238ba4.patch,ok
ARM64_PMEM,arch/arm64/Kconfig,1886,d50e071fdaa33c1b399c764c44fa1ce879881185,arm64: Implement pmem API support,https://git.kernel.org/torvalds/c/d50e071fdaa33c1b399c764c44fa1ce879881185,https://git.kernel.org/torvalds/c/d50e071fdaa33c1b399c764c44fa1ce879881185.patch,ok
ARM64_POE,arch/arm64/Kconfig,2162,b9b9d72de32bcb63ed4d9761907a3e5f352c6f9a,arm64: add Permission Overlay Extension Kconfig,https://git.kernel.org/torvalds/c/b9b9d72de32bcb63ed4d9761907a3e5f352c6f9a,https://git.kernel.org/torvalds/c/b9b9d72de32bcb63ed4d9761907a3e5f352c6f9a.patch,ok
ARM64_PSEUDO_NMI,arch/arm64/Kconfig,2260,bc3c03ccb4641fb940b27a0d369431876923a8fe,arm64: Enable the support of pseudo-NMIs,https://git.kernel.org/torvalds/c/bc3c03ccb4641fb940b27a0d369431876923a8fe,https://git.kernel.org/torvalds/c/bc3c03ccb4641fb940b27a0d369431876923a8fe.patch,ok
ARM64_PTR_AUTH,arch/arm64/Kconfig,1931,04ca3204fa09f5f55c8f113b0072004a7b364ff4,arm64: enable pointer authentication,https://git.kernel.org/torvalds/c/04ca3204fa09f5f55c8f113b0072004a7b364ff4,https://git.kernel.org/torvalds/c/04ca3204fa09f5f55c8f113b0072004a7b364ff4.patch,ok
ARM64_PTR_AUTH_KERNEL,arch/arm64/Kconfig,1955,b27a9f4119afa460289cd327f403e2ec9c8e0511,arm64: Add ARM64_PTR_AUTH_KERNEL config option,https://git.kernel.org/torvalds/c/b27a9f4119afa460289cd327f403e2ec9c8e0511,https://git.kernel.org/torvalds/c/b27a9f4119afa460289cd327f403e2ec9c8e0511.patch,ok
ARM64_RAS_EXTN,arch/arm64/Kconfig,1898,64c02720ea3598bf5143b672274d923a941b8053,arm64: cpufeature: Detect CPU RAS Extentions,https://git.kernel.org/torvalds/c/64c02720ea3598bf5143b672274d923a941b8053,https://git.kernel.org/torvalds/c/64c02720ea3598bf5143b672274d923a941b8053.patch,ok
ARM64_RELOC_TEST,arch/arm64/Kconfig.debug,19,214fad550772929d97fb90a6a2637ebf5a796c11,arm64: relocation testing module,https://git.kernel.org/torvalds/c/214fad550772929d97fb90a6a2637ebf5a796c11,https://git.kernel.org/torvalds/c/214fad550772929d97fb90a6a2637ebf5a796c11.patch,ok
ARM64_SME,arch/arm64/Kconfig,2249,a1f4ccd25cc256255813f584f10e5527369d4a02,arm64/sme: Provide Kconfig for SME,https://git.kernel.org/torvalds/c/a1f4ccd25cc256255813f584f10e5527369d4a02,https://git.kernel.org/torvalds/c/a1f4ccd25cc256255813f584f10e5527369d4a02.patch,ok
ARM64_SVE,arch/arm64/Kconfig,2218,ddd25ad1fde8456810dee1b26a870395bcd6339d,arm64/sve: Kconfig update and conditional compilation support,https://git.kernel.org/torvalds/c/ddd25ad1fde8456810dee1b26a870395bcd6339d,https://git.kernel.org/torvalds/c/ddd25ad1fde8456810dee1b26a870395bcd6339d.patch,ok
ARM64_SW_TTBR0_PAN,arch/arm64/Kconfig,1701,ba42822af1c287f038aa550f3578c61c212a892e,arm64: Enable CONFIG_ARM64_SW_TTBR0_PAN,https://git.kernel.org/torvalds/c/ba42822af1c287f038aa550f3578c61c212a892e,https://git.kernel.org/torvalds/c/ba42822af1c287f038aa550f3578c61c212a892e.patch,ok
